medcodeid	DESCRIPTION	READ_CODE	SNOMED_CT_CODE	DATABASE			
72350017	Abdominal discomfort	1968	43364001	CPRD_AURUM			
90723010	Lower abdominal pain	197C.00	54586004	CPRD_AURUM			
132601013	Epigastric pain	1972	79922009	CPRD_AURUM			
137890011	Upper abdominal pain	197B.00	83132003	CPRD_AURUM			
252305018	Generalised abdominal pain	197A.00	102614006	CPRD_AURUM			
252575016	Abdominal wall pain	1969000	162042000	CPRD_AURUM			
252586019	Right subcostal pain	1974	162048001	CPRD_AURUM			
369368016	Abdominal pain type	196..11	247358007	CPRD_AURUM			
402479018	O/E - abdo. pain on palpation	25C..00	268941000	CPRD_AURUM			
958291000006112	Colicky abdominal pain present		958291000006108	CPRD_AURUM			
961961000006110	Cramping/abdominal discomfort		961961000006106	CPRD_AURUM			
1983911000006110	Manchester triage - Abdominal pain in adult		1983911000006100	CPRD_AURUM			
1983921000006110	Manchester triage - Abdominal pain in child		1983921000006100	CPRD_AURUM			
254362016	O/E -abd.pain on palpation NOS	25CZ.00	268941000	CPRD_AURUM			
317567019	[D]Abdominal cramps	R090400	51197009	CPRD_AURUM			
317568012	[D]Epigastric pain	R090500	79922009	CPRD_AURUM			
317578010	[D]Acute abdomen	R096.00	9209005	CPRD_AURUM			
317586010	[D]Other specified abdominal pain	R090y00	21522001	CPRD_AURUM			
317587018	[D]Abdominal pain NOS	R090z00	21522001	CPRD_AURUM			
455443010	[D]Nonspecific abdominal pain	R090N00	304542004	CPRD_AURUM			
293121000006115	[D]Acute abdomen	R090F00	9209005	CPRD_AURUM			
254353018	O/E - abd. pain - epigastrium	25C3.00	163215003	CPRD_AURUM			
254355013	O/E - abd. pain - R.lumbar	25C5.00	163217006	CPRD_AURUM			
254356014	O/E - abd. pain - umbilical	25C6.00	163218001	CPRD_AURUM			
254358010	O/E - abd. pain - L.lumbar	25C7.00	163219009	CPRD_AURUM			
254359019	O/E - abd. pain - R.iliac	25C8.00	163220003	CPRD_AURUM			
254360012	O/E - abd. pain - hypogastrium	25C9.00	163221004	CPRD_AURUM			
254361011	O/E - abd. pain - L.iliac	25CA.00	163222006	CPRD_AURUM			
2659131000006110	Colicky abdominal pain		9991008	CPRD_AURUM			
5243121000006110	Type of abdominal pain		247358007	CPRD_AURUM			
12454931000006100	O/E - abd. pain - umbilical		163218001	CPRD_AURUM			
4559871000006110	On examination - abdominal pain - umbilical		163218001	CPRD_AURUM			
