MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
353143016	2000000	J10y4-2	J10y412	Gastro-oesophageal reflux	235595009	353143016	32
5082441000006116	300000	^ESCTGA508244		Gastrooesophageal reflux disease	235595009	2642391013	32
5082451000006119	300	^ESCTGA508245		Gastroesophageal reflux disease	235595009	353135014	32
5082461000006117	100	^ESCTGA508246		Gastro-esophageal reflux	235595009	353136010	32
5082471000006112	30	^ESCTGO508247		GORD - Gastro-esophageal reflux disease	235595009	353137018	32
5082481000006110	30	^ESCTGA508248		Gastro-esophageal reflux disease	235595009	353138011	32
5082491000006113	2	^ESCTGO508249		GOR - Gastro-esophageal reflux	235595009	353139015	32
5082501000006117	500	^ESCTGA508250		Gastro-oesophageal reflux disease	235595009	353141019	32
5082521000006110	100	^ESCTGO508252		GORD - Gastro-oesophageal reflux disease	235595009	353144010	32
5082531000006113	10	^ESCTGO508253		GOR - Gastro-oesophageal reflux	235595009	353145011	32
5082541000006115	30	^ESCTGE508254		GERD - Gastro-esophageal reflux disease	235595009	2535970019	32
25076018	6000000	19C	19C..00	Constipation	14760008	25076018	27
303165014	3000	J520y	J520y00	Other specified constipation	14760008	25076018	27
303166010	100000	19CZ	19CZ.00	Constipation NOS	14760008	25076018	27
2162207016	700000	19C2	19C2.00	Constipated	14760008	2162207016	27
590101000006113	800000	J520z	J520z00	Constipation NOS	14760008	25076018	27
590111000006111	1000000	19C-1	19C..11	Constipation symptom	14760008	25076018	27
598301000006114	2000	19C-2	19C..12	Costive symptom	14760008	25076018	27
2733841000006117	50	^ESCTDI273384		Difficulty defaecating	14760008	2161346019	27
2733861000006118	70	^ESCTDI273386		Difficulty passing stool	14760008	2162205012	27
2733871000006113	200	^ESCTDI273387		Difficulty opening bowels	14760008	2162206013	27
2733891000006114	2	^ESCTCN273389		CN - Constipation	14760008	2162208014	27
2733901000006113	8	^ESCTDI273390		Difficult passing motion	14760008	2162209018	27
396361018	50000	J43	J43..00	Noninfectious enteritis	71207007	118245016	32
14615831000006119	20	^ESCT1461583		Noninfectious enteritis of intestine	71207007	4687993015	32
91741012	10000	A0802	A080200	Infectious enteritis	55184003	91741012	32
3395961000006110	10	^ESCTIN339596		Infective enteritis	55184003	497137013	32
14614111000006116	7	^ESCT1461411		Infectious enteritis of intestine	55184003	4675647010	32
118918011	200	J431	J431.00	Toxic gastroenteritis	71583005	118918011	32
303014015	50	J431z	J431z00	Toxic gastroenteritis NOS	71583005	118918011	32
796791000006115	30000	J525	J525.00	Functional diarrhoea	47812002	198074014	32
103578017	3000000	19F2	19F2.00	Diarrhoea	62315008	103578017	27
619741000006114	1000000	19F-1	19F..11	Diarrhoea	62315008	103578017	27
3512721000006112	100	^ESCTDI351272		Diarrhea	62315008	103576018	27
3512731000006110	5	^ESCTDD351273		D - Diarrhoea	62315008	499248015	27
3550901000006110	400	^ESCTEN355090		Enteritis of small intestine	64613007	2871273013	31
3550911000006113	20	^ESCTEN355091		Enteritis	64613007	107385015	31
3550931000006119	2	^ESCTIN355093		Inflammation of small intestine	64613007	2871274019	31
18665016	10000	J521-3	J521.13	Spastic colon	10743008	18665016	32
18666015	3000000	J521-1	J521.11	Irritable bowel syndrome	10743008	18666015	32
742351000006119	900000	J521	J521.00	Irritable colon - Irritable bowel syndrome	10743008	18666015	32
886361000006114	90000	J521-99	J521.99	Irritable bowel - IBS	10743008	886361000006114	32
2670821000006113	100000	^ESCTIR267082		Irritable colon	10743008	18662018	32
2670871000006114	3	^ESCTMU267087		Mucous colitis	10743008	18667012	32
2670881000006112	20	^ESCTCO267088		Colon spasm	10743008	1219339014	32
2670891000006110	200	^ESCTFU267089		Functional bowel disease	10743008	1219340011	32
2670911000006112	300	^ESCTIB267091		IBS - Irritable bowel syndrome	10743008	1219342015	32
2670921000006116	50	^ESCTIR267092		Irritable bowel	10743008	1219343013	32
2670951000006113	1	^ESCTIC267095		IC - Irritable colon	10743008	1219346017	32
198466017	60000	J1011-5	J101115	Gastro-oesophageal reflux disease with oesophagitis	266433003	396338015	32
396339011	10000	J1011-3	J101113	Oesophageal reflux with oesophagitis	266433003	396339011	32
396340013	1000000	J1011	J101100	Reflux oesophagitis	266433003	396340013	32
497946018	3000	J1011-4	J101114	Peptic oesophagitis	266433003	3517222014	32
799341000006115	90000	J1011-2	J101112	Gastro-oesophageal reflux with oesophagitis	266433003	396339011	32
5492761000006118	7	^ESCTRE549276		Reflux esophagitis	266433003	396335017	32
302624017	20000	J154	J154.00	Other specified gastritis	4556007	7841019	32
302632013	7000	J154z	J154z00	Other specified gastritis NOS	4556007	7841019	32
302633015	1000000	J155	J155.00	Gastritis	4556007	7841019	32
303048019	50000	J4z0	J4z0.00	Non-infective gastritis NOS	4556007	7841019	32
303750019	100000	Jyu13	Jyu1300	[X]Other gastritis	4556007	7841019	32
28383015	2000000	J101	J101.00	Oesophagitis	16761005	28383015	32
302378011	4000	J101y	J101y00	Other specified oesophagitis	16761005	28383015	32
302381018	20000	J101z	J101z00	Oesophagitis NOS	16761005	28383015	32
2765951000006116	20	^ESCTES276595		Esophagitis	16761005	28380017	32
353140018	300000	J10y4-3	J10y413	Acid reflux	698065002	2970070010	32
452891000006114	800000	J1011-1	J101111	Acid reflux	698065002	2970070010	32
372246012	300000	J10y4-1	J10y411	Oesophageal reflux	249496004	372246012	32
5272471000006114	500	^ESCTOE527247		Oesophageal reflux finding	249496004	372247015	32
5272481000006112	1	^ESCTES527248		Esophageal reflux	249496004	372244010	32
42686017	400000	J150	J150.00	Acute gastritis	25458004	42686017	32
303749019	8000	Jyu12	Jyu1200	[X]Other acute gastritis	25458004	42686017	32
498970016	70000	J1016	J101600	Ulcerative oesophagitis	439955006	2792529018	32
7230051000006110	1	^ESCTUL723005		Ulcerative esophagitis	439955006	2792528014	32
511831000006115	5000	J1541	J154100	Alkaline reflux gastritis	72950008	502298012	32
512001000006114	7000	J1541-1	J154111	Biliary reflux	72950008	502298012	32
3686761000006111	1000	^ESCTBI368676		Bile-induced gastritis	72950008	121173017	32
3686771000006116	30	^ESCTBI368677		Biliary gastritis	72950008	121174011	32
3686781000006118	200	^ESCTBI368678		Bile reflux gastritis	72950008	502297019	32
303032015	6000	J4330	J433000	Dietetic gastritis	197028009	303032015	32
302619015	20000	J1510	J151000	Chronic atrophic gastritis	84568007	140221013	32
3875631000006116	1000	^ESCTAT387563		Atrophic gastritis	84568007	140220014	32
3875651000006111	30	^ESCTGA387565		Gastric atrophy	84568007	506115019	32
3875671000006118	20	^ESCTAU387567		Autoimmune gastritis	84568007	506117010	32
353159016	10000	J1017	J101700	Eosinophilic oesophagitis	235599003	353159016	32
5082651000006117	8	^ESCTEO508265		Eosinophilic esophagitis	235599003	353158012	32
478553011	6000	J1500	J150000	Acute haemorrhagic gastritis	2367005	481682019	32
196858012	2000	E2643-1	E264311	Spurious diarrhoea	162106006	252742010	27
4546581000006112	20	^ESCTOV454658		Overflow incontinence - faeces	162106006	252744011	27
