MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
317115013	20000	R0110	R011000	Anosmia	44169009	73662019	27
485201000006117	100000	1B45	1B45.00	Loss of sense of smell	44169009	493797018	27
3211411000006113	1	^ESCTLO321141		Loss of the sense of smell	44169009	73663012	27
3211421000006117	8	^ESCTNO321142		No sense of smell	44169009	1230061012	27
3211431000006119	20	^ESCTSE321143		Sense of smell lost	44169009	1230062017	27
317114012	10000	R011	R011.00	Sensory disorder of smell and/or taste	2611000119103	2959578015	32
317118010	4000	R011z	R011z00	[D]Smell or taste disorder NOS	2611000119103	2959578015	32
318026015	900	Ryu52	Ryu5200	[X]Other and unspecified disturbances of smell and taste	2611000119103	2959578015	32
460638013	4000	ZV415	ZV41500	[V]Problem with smell or taste	2611000119103	2959578015	32
317117017	4000	R0112	R011200	[D]Parageusia	271801002	406747012	32
1227656018	10000	ZV415-2	ZV41512	Taste sense altered	271801002	406747012	32
5529611000006118	5	^ESCTDY552961		Dysgeusia	271801002	406756016	32
4022751000006111	80	^ESCTHY402275		Hypogonadism with anosmia	93559003	154878011	32
5008811000006115	2	^ESCTCO500881		Congenital anosmia	230502003	345401011	31
255453013	800	2BP3	2BP3.00	O/E - anosmia	164086009	255453013	27
