medcodeid	DESCRIPTION	READ_CODE	SNOMED_CT_CODE	DATABASE	
251630012	H/O: anxiety state	1466	161470009	CPRD_AURUM	
252894016	General nervous symptoms	1B1..00	162189001	CPRD_AURUM	
294961014	Recurrent anxiety	E200500	191709001	CPRD_AURUM	
339044013	Panic attack	E200111	225624000	CPRD_AURUM	
481154010	Generalised anxiety disorder	E200200	21897009	CPRD_AURUM	
1210253015	Panic disorder	E200100	371631005	CPRD_AURUM	
1488717011	C/O - panic attack	1B1V.00	395017009	CPRD_AURUM	
2536376012	Anxiousness	1B13.00	48694002	CPRD_AURUM	
2549895012	O/E - panic attack	225J.00	417676004	CPRD_AURUM	
300681000000118	Referral for guided self-help for anxiety	8HHp.00	199101000000102	CPRD_AURUM	
516601000000113	Anxious	1B13.12	48694002	CPRD_AURUM	
909691000006113	[RFC] Anxiety management		909691000006109	CPRD_AURUM	
972931000006117	** The treatment of anxiety disorders		972931000006101	CPRD_AURUM	
1808511000006110	Recurrent panic attacks		1808511000006100	CPRD_AURUM	
1976491000006110	Mixed anxiety and depressive reaction		1976491000006100	CPRD_AURUM	
2287071000000110	Anxiety about breathlessness	173f.00	702535006	CPRD_AURUM	
2335571000000110	Patient given advice about management of anxiety	8CAZ000	908541000000103	CPRD_AURUM	
2391581000000110	Referral for guided self-help for anxiety declined	8IH5300	933461000000100	CPRD_AURUM	
2618361000000110	Referral for psychological management of anxiety		1037451000000100	CPRD_AURUM	
252973015	General nervous symptom NOS	1B1Z.00	424196004	CPRD_AURUM	
294953016	Anxiety state unspecified	E200000	198288003	CPRD_AURUM	
294963012	Anxiety state NOS	E200z00	198288003	CPRD_AURUM	
296224013	[X]Phobic anxiety disorders	Eu40.00	386810004	CPRD_AURUM	
296237011	"[X]Phobic anxiety disorder, unspecified"	Eu40z00	386810004	CPRD_AURUM	
296238018	[X]Other anxiety disorders	Eu41.00	197480006	CPRD_AURUM	
317958013	[D]Nervousness	R2y2.00	424196004	CPRD_AURUM	
1222553010	[D]Nerves	R2y2.11	424196004	CPRD_AURUM	
