MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
299506011	300	FyuL	FyuL.00	Blindness AND/OR vision impairment level	105597003	169718011	32
41870012	90000	1B72-1	1B72.11	Diplopia	24982008	41870012	32
41871011	30000	1B72-2	1B72.12	Double vision	24982008	41871011	32
622011000006112	80000	F482	F482.00	Diplopia (double vision)	24982008	41870012	32
622021000006116	50000	1B72	1B72.00	Diplopia/double vision	24982008	41871011	32
883331000006114	3000	F482-99	F482.99	Diplopia - double vision	24982008	883331000006114	32
2899101000006119	1	^ESCTSE289910		Seeing double	24982008	1224306012	32
138571013	600	F481D	F481D00	Visual halos	83551002	138571013	32
137108010	100000	F472	F472.00	Astigmatism	82649003	137108010	32
298148017	2000	F4720	F472000	Unspecified astigmatism	82649003	137108010	32
298149013	5000	F472z	F472z00	Astigmatism NOS	82649003	137108010	32
78509017	600	F4722	F472200	Irregular astigmatism	47099006	78509017	32
114450018	300	F4721	F472100	Regular astigmatism	68905002	114450018	32
5026421000006115	3	^ESCTCO502642		Correction of astigmatism	231708006	347229010	31
5032401000006112	8	^ESCTCO503240		Corneal astigmatism	232136008	2579193011	31
6047281000006118	3	^ESCTCO604728		Corneal graft astigmatism	314552006	458927013	31
7374081000006119	60	^ESCTMY737408		Myopic astigmatism	449724005	2912457015	31
7374091000006116	5	^ESCTMI737409		Mixed astigmatism	449725006	2912514011	31
7374201000006117	20	^ESCTHY737420		Hyperopic astigmatism	449734001	2912875010	31
8021251000006112	20	^ESCTHI802125		High astigmatism	67681000119109	2990274018	31
8107811000006117	10	^ESCTRI810781		Right astigmatism	336341000119104	3451585010	31
8109571000006115	6	^ESCTLE810957		Left astigmatism	341951000119105	3451594016	31
299505010	2000	FyuK4	FyuK400	Disorder of refraction	39021009	65458016	32
9847501000006117	5	^ESCTHI984750		High astigmatism of bilateral eyes	15740681000119101	3326665019	31
9847471000006112	1	^ESCTHI984747		High astigmatism of left eye	15740601000119109	3451577018	31
9847491000006113	1	^ESCTHI984749		High astigmatism of right eye	15740641000119106	3451579015	31
5032431000006116	1	^ESCTIR503243		Irregular astigmatism - corneal	232138009	347829017	31
5032441000006114	1	^ESCTIR503244		Irregular astigmatism - lenticular	232139001	347830010	31
3316891000006117	60	^ESCTMO331689		Monocular diplopia	50446000	84045013	31
3316911000006115	1	^ESCTPO331691		Polyopia	50446000	1230869013	31
3316921000006111	2	^ESCTDO331692		Double vision in one eye	50446000	1230870014	31
5032391000006110	6	^ESCTRE503239		Regular astigmatism - corneal	232136008	347827015	31
298166010	300	F4810	F481000	Unspecified subjective visual disturbance	78455002	130183018	32
298179018	2000	F481G	F481G00	Other visual distortion	78455002	130183018	32
298181016	20	F481L	F481L00	Other psychophysical visual disturbance	78455002	130183018	32
298182011	500	F481z	F481z00	Subjective visual disturbance NOS	78455002	130183018	32
124401000006112	10000	F481	F481.00	Subjective visual disturbance	78455002	130183018	32
298242012	50000	F48z	F48z.00	Visual disturbance NOS	63102001	104891017	32
298236013	600	F48y	F48y.00	Other specified visual disturbance	63102001	104891017	32
61821000006117	300000	F48	F48..00	Visual disturbance	63102001	104891017	32
298241017	200	F48yz	F48yz00	Other specified visual disturbance NOS	63102001	104891017	32
68818010	8000	F474	F474.00	Presbyopia	41256004	68818010	32
95122014	200000	F471	F471.00	Myopia	57190000	95122014	32
64695017	200000	F470	F470.00	Hypermetropia	38101003	64695017	32
