MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
1491795010	60000	28E3	28E3.00	Cognitive impairment	386806002	1491795010	27
1491798012	100000	28E	28E..00	Cognitive decline	386806002	1491798012	27
404241000006118	40000	Ryu51	Ryu5100	Impaired cognition	386806002	1480926019	27
1807641000006115	3000	EMISNQIM12		Impaired cognition	386806002	1807641000006115	27
6462081000006114	2	^ESCTCO646208		Cognitive disturbance	386806002	1491796011	27
6462091000006112	9	^ESCTCO646209		Cognitive dysfunction	386806002	1491797019	27
6462111000006115	7	^ESCTCO646211		Cognitive deficit	386806002	3289770014	27
4178371000006110	2	^ESCTMI417837		Minimal cognitive impairment	110352000	175146011	31
4127421000006118	1000	^ESCTLE412742		Learning finding	106138009	170565012	31
44097017	70000	1BW	1BW..00	Poor concentration	26329005	44097017	27
3475091000006115	500	^ESCTUN347509		Unable to concentrate	60032008	99736018	31
369924010	80000	1BR	1BR..00	Reduced concentration	247761005	369924010	27
5248301000006113	1	^ESCTLI524830		Limited concentration	247761005	2646626019	27
369925011	4000	1BR0	1BR0.00	Reduced concentration span	247762003	369925011	27
369926012	4000	1BR0-1	1BR0.11	Short attention span	247762003	369926012	27
5248331000006117	9	^ESCTRE524833		Reduced attention span	247762003	369927015	27
5248341000006110	2	^ESCTSH524834		Short concentration span	247762003	369928013	27
2951021000006112	10	^ESCTDI295102		Distractibility	28102002	47050011	31
2803561000006114	1	^ESCTSE280356		Seems in a dream	19129003	479128014	31
8444291000006110	4	^ESCTDI844429		Difficulty sustaining attention	1070981000000102	2697801000000117	31
215831000000117	90000	Eu057	Eu05700	Mild cognitive disorder	386805003	1480925015	32
2288201000000116	70000	28E0	28E0.00	Mild cognitive impairment	386805003	2956731015	32
