medcodeid	DESCRIPTION	READ_CODE	SNOMED_CT_CODE	DATABASE
138421012	Agitated depression	E135.00	83458005	CPRD_AURUM
294646011	Senile dementia with depression	E002100	191459006	CPRD_AURUM
294655014	Arteriosclerotic dementia with depression	E004300	191466007	CPRD_AURUM
294860011	Manic-depressive - now depressed	E115.11	191627008	CPRD_AURUM
295536013	Postviral depression	E2B0.00	192079006	CPRD_AURUM
346972018	Endogenous depression first episode	E112.13	231499006	CPRD_AURUM
346973011	Masked depression	E11z200	231500002	CPRD_AURUM
410861011	Endogenous depression - recurrent	E113.11	274948002	CPRD_AURUM
1488626018	Symptoms of depression	1B1U.00	394924000	CPRD_AURUM
1773563015	Depression management programme	8BK0.00	401174001	CPRD_AURUM
2474715017	On depression register	9HA0.00	413169006	CPRD_AURUM
2533375017	Patient given advice about management of depression	8CAa.00	415044007	CPRD_AURUM
2534091015	Depression interim review	9H92.00	413973005	CPRD_AURUM
2534092010	Depression medication review	9H91.00	413974004	CPRD_AURUM
2534096013	Depression annual review	9H90.00	413972000	CPRD_AURUM
213641000000111	[X]Mild depression	Eu32400	310495003	CPRD_AURUM
300711000000119	Referral for guided self-help for depression	8HHq.00	199111000000100	CPRD_AURUM
408521000000112	Depression monitoring first letter	9Ov0.00	717211000000107	CPRD_AURUM
408561000000116	Depression monitoring third letter	9Ov2.00	716961000000102	CPRD_AURUM
681801000000113	On full dose long term treatment for depression	9kQ..11	361761000000106	CPRD_AURUM
882401000006115	Reactive (neurotic) depression	E204.99	87414006	CPRD_AURUM
1839551000006110	PHQ9 total score 5-9 (mild depression)		1839551000006100	CPRD_AURUM
1839561000006110	PHQ9 total score 10-14 (moderate depression)		1839561000006100	CPRD_AURUM
294647019	Senile dementia with depressive or paranoid features NOS	E002z00	191457008	CPRD_AURUM
401871010	[X]Other depressive episodes	Eu32y00	35489007	CPRD_AURUM
401872015	"[X]Depressive episode, unspecified"	Eu32z00	35489007	CPRD_AURUM
294081000000110	Exception reporting: depression quality indicators	9hC..00	716111000000102	CPRD_AURUM
359121000006116	[X] Reactive depression NOS	Eu32z14	87414006	CPRD_AURUM
376721000006114	[X]Depressive episode	Eu32.00	35489007	CPRD_AURUM
376741000006119	[X]Depressive neurosis	Eu34111	78667006	CPRD_AURUM
398351000006110	[X]Mild anxiety depression	Eu41211	231504006	CPRD_AURUM
