medcodeid	DESCRIPTION	READ_CODE	SNOMED_CT_CODE	FREQUENCY	DATABASE
1634018	Occipital headache	1BA6.00	330007	83048	CPRD_AURUM
7595017	Migraine with aura	F260.11	4473006	52690	CPRD_AURUM
9300010	Sinus headache	1BA9.00	4969004	9119	CPRD_AURUM
41990019	Headache	1B1G.00	25064002	5426650	CPRD_AURUM
41994011	Cephalgia	1B1G.12	25064002	2841	CPRD_AURUM
69073019	Temporal headache	1BA8.00	41413006	50687	CPRD_AURUM
82623012	Ophthalmoplegic migraine	F26y100	49605003	2277	CPRD_AURUM
93294013	Migraine without aura	F261.11	56097005	16033	CPRD_AURUM
93295014	Common migraine	F261.00	56097005	52989	CPRD_AURUM
93296010	Atypical migraine	F261000	56097005	21966	CPRD_AURUM
98501012	Hemiplegic migraine	F26y000	59292006	42724	CPRD_AURUM
158459012	Chronic paroxysmal hemicrania	F262700	95654002	2094	CPRD_AURUM
158460019	Ophthalmic migraine	F262400	95655001	26306	CPRD_AURUM
166489012	Unilateral headache	1BA3.00	103006007	40972	CPRD_AURUM
251645017	H/O: migraine	1474	161481007	319116	CPRD_AURUM
252948015	Viral headache	1B1G100	162211001	19335	CPRD_AURUM
253117018	Headache character	1BB..00	162306000	9454	CPRD_AURUM
253119015	Throbbing headache	1BB2.00	162308004	13225	CPRD_AURUM
253120014	Shooting headache	1BB3.00	162309007	2277	CPRD_AURUM
253121013	Morning headache	1BB4.00	162310002	1626	CPRD_AURUM
397993014	Frontal headache	1BA5.00	267096005	253849	CPRD_AURUM
1777688018	Muscular headache	E278111	398126006	19393	CPRD_AURUM
1786078018	Tension headache	E278100	398057008	776333	CPRD_AURUM
2159945013	Migraine prophylaxis	8B6N.00	408381007	16185	CPRD_AURUM
2674612015	History of headache	147E.00	425978000	44065	CPRD_AURUM
2838283014	Paroxysmal hemicrania	F262D00	443094001	1923	CPRD_AURUM
33411000033118	Drugs Used In Prophylaxis Of Migraine		33411000033102	0	CPRD_AURUM
1708841000006110	Chronic headache disorder		1708841000006100	41	CPRD_AURUM
1763401000006110	H/O: migraine with aura		1763401000006100	7	CPRD_AURUM
1763411000006110	H/O: migraine without aura		1763411000006100	10418	CPRD_AURUM
2900351000006110	HA - Headache		25064002	0	CPRD_AURUM
1977851000006110	Unexplained recurrent headaches		1977851000006100	2	CPRD_AURUM
2570161000006110	Classical migraine		4473006	167	CPRD_AURUM
7596016	Classical migraine	F260.00	230462002	299612	CPRD_AURUM
297338014	Cluster headache	F262000	193031009	162652	CPRD_AURUM
297355013	Other forms of migraine NOS	F26yz00	37796009	2656	CPRD_AURUM
299338017	[X]Other migraine	Fyu5300	37796009	3392	CPRD_AURUM
317264010	[D]Headache	R040.00	25064002	909757	CPRD_AURUM
142901000006114	Sinus headache	1B1G000	4969004	57505	CPRD_AURUM
359201000006116	[X]Tension type headache	F262600	398057008	65023	CPRD_AURUM
1628961000006110	DNA headache special interest general practitioner clinic	9NiB.00	307081000000106	61	CPRD_AURUM
1629041000006110	Seen by general practitioner with special interest headache	9Nl7.00	307111000000103	4175	CPRD_AURUM
1701881000006110	Diag endos exam uret and biop les uret us rigid ureteroscope	7B1BA00	378361000000106	247	CPRD_AURUM
1716421000006110	[X]Chronic headache disorder	Fyu5E00	431237007	18510	CPRD_AURUM
1747081000000110	H/O migraine with aura	1474000	608837004	26431	CPRD_AURUM
253123011	Headache character NOS	1BBZ.00	364760007	4415	CPRD_AURUM
2900321000006110	Cephalalgia		25064002	1	CPRD_AURUM
4060381000006110	Ocular migraine		95655001	24	CPRD_AURUM
3856501000006110	Vertebrobasilar migraine		83351003	13	CPRD_AURUM
3733831000006110	Decapitated migraine		75879005	0	CPRD_AURUM
4769931000006110	Complex migraine		193039006	3	CPRD_AURUM
5008341000006110	Status migrainus		230467008	0	CPRD_AURUM
6262001000006110	Headache character - finding		364760007	18	CPRD_AURUM
4084171000006110	One sided headache		103006007	13	CPRD_AURUM
4540161000006110	History of migraine		161481007	1	CPRD_AURUM
2900311000006110	Head pain		25064002	32	CPRD_AURUM
4769891000006110	Neuralgic migraine		193031009	18	CPRD_AURUM
6598301000006110	Muscle contraction headache		398126006	0	CPRD_AURUM
4769831000006110	Cluster headache		193031009	847	CPRD_AURUM
3856481000006110	Basilar artery migraine		83351003	0	CPRD_AURUM
4547661000006110	Generalized headache		162299003	0	CPRD_AURUM
12717691000006100	[D]Headache		497101000000107	0	CPRD_AURUM
12719301000006100	[D]Pain in head NOS		429051000000106	0	CPRD_AURUM
894711000006115	Headache symptom NOS [D]	R040z99	429051000000106	2534	CPRD_AURUM
1743431000006110	Chronic Paroxysmal Hemicrania		1743431000006100	129	CPRD_AURUM
1756651000000110	Frequent episodic tension-type headache	F262A00	722982003	565	CPRD_AURUM
297335012	Sick headache	F261100	193028008	5092	CPRD_AURUM
297337016	Migraine variants	F262.00	193030005	8562	CPRD_AURUM
253105015	Generalised headache	1BA2.00	162299003	21479	CPRD_AURUM
297351016	Migraine variant NOS	F262z00	193030005	5746	CPRD_AURUM
297356014	Migraine NOS	F26z.00	37796009	231503	CPRD_AURUM
700211000006115	Moebius' ophthalmoplegic migraine	F26y111	49605003	13	CPRD_AURUM
2900341000006110	Cephalodynia		25064002	0	CPRD_AURUM
253116010	Headache site NOS	1BAZ.00	162297001	3856	CPRD_AURUM
33211000033119	Antimigraine Drugs		33211000033103	0	CPRD_AURUM
33311000033114	Drugs Used In Treatment Of Acute Migraine Attacks		33311000033105	0	CPRD_AURUM
345355014	Status migrainosus	F26y200	230467008	1079	CPRD_AURUM
253109014	Bilateral headache	1BA4.00	162301005	4468	CPRD_AURUM
253115014	Parietal headache	1BA7.00	162304002	6248	CPRD_AURUM
253118011	Aching headache	1BB1.00	162307009	15205	CPRD_AURUM
138248010	Basilar migraine	F262300	83351003	7400	CPRD_AURUM
