medcodeid	DESCRIPTION	READ_CODE	SNOMED_CT_CODE	FREQUENCY	DATABASE
21110011	Restless sleep	E274D11	12262002	6716	CPRD_AURUM
98133013	Initial insomnia	1B1B000	59050008	32300	CPRD_AURUM
252935019	Late insomnia	1B1B200	162204000	8463	CPRD_AURUM
295427011	'Short-sleeper'	E274E00	192007009	156	CPRD_AURUM
299274011	Disorders of initiating and maintaining sleep	Fy00.00	194437008	50014	CPRD_AURUM
401805019	Transient insomnia	E274100	268652009	56720	CPRD_AURUM
1780430015	Early morning waking	1BX3.00	401236004	38320	CPRD_AURUM
917101000006119	Delayed onset of sleep		917101000006103	1	CPRD_AURUM
960621000006117	Insomnia		960621000006101	2348	CPRD_AURUM
960641000006112	Insufficient sleep/rest for age/physical condition		960641000006108	7	CPRD_AURUM
1008811000006110	PHQ9 score - sleep disturbed		1008811000006100	338058	CPRD_AURUM
1806241000006110	Difficulty sleeping		301345002	24185	CPRD_AURUM
1820981000006110	PCL-C - Trouble falling or staying asleep: Moderately		1820981000006100	1	CPRD_AURUM
1820991000006110	PCL-C - Trouble falling or staying asleep: Quite a bit		1820991000006100	1	CPRD_AURUM
1821001000006110	PCL-C - Trouble falling or staying asleep: Extremely		1821001000006100	1	CPRD_AURUM
295408017	Unspecified non-organic sleep disorder	E274000	270487001	570	CPRD_AURUM
296394016	[X]Other nonorganic sleep disorders	Eu51y00	270487001	49	CPRD_AURUM
317031015	[D]Sleep disturbances	R005.00	44186003	399151	CPRD_AURUM
317035012	[D]Insomnia NOS	R005200	193462001	519811	CPRD_AURUM
345377013	Insomnia NOS	E274111	193462001	524873	CPRD_AURUM
407067015	C/O - insomnia	1B1B.11	272025006	587641	CPRD_AURUM
223701000000114	Non-organic sleep disorders	E274.00	270487001	232433	CPRD_AURUM
400141000006116	[X]Nonorganic sleep disorders	Eu51.00	270487001	520	CPRD_AURUM
772561000006111	Insomnia due to nonorganic sleep disorder	E274.12	192454004	1376	CPRD_AURUM
11639631000006100	Recommendation to use digital cognitive behavioural therapy for insomnia		11639631000006100	1433	CPRD_AURUM
4771851000006110	Sleeplessness		193462001	0	CPRD_AURUM
3593391000006110	Difficulty staying asleep		67233009	0	CPRD_AURUM
7235351000006110	Education about stimulus control behaviour in insomnia		440313002	0	CPRD_AURUM
3593421000006110	Broken sleep		67233009	2	CPRD_AURUM
3593451000006110	Difficulty in sleep maintenance		67233009	1	CPRD_AURUM
3459351000006110	Cannot get off to sleep		59050008	0	CPRD_AURUM
4766541000006110	Short-sleeper		192007009	2	CPRD_AURUM
3459311000006110	Vesperal insomnia		59050008	0	CPRD_AURUM
3176551000006110	Insomnia with sleep apnea		41975002	0	CPRD_AURUM
2562371000006110	Idiopathic insomnia		3972004	1	CPRD_AURUM
3459321000006110	Difficulty falling asleep		59050008	1	CPRD_AURUM
3593431000006110	Interrupted sleep		67233009	0	CPRD_AURUM
