medcodeid	DESCRIPTION	READ_CODE	SNOMED_CT_CODE	FREQUENCY	DATABASE
198184013	Hip joint pain	N094512	49218002	515224	CPRD_AURUM
310802015	Arthralgia of the hand	N094400	202472008	110013	CPRD_AURUM
310803013	Hand joint pain	N094411	202472008	60471	CPRD_AURUM
310818014	Arthralgia of sternoclavicular joint	N094B00	202478007	5647	CPRD_AURUM
310819018	Arthralgia of acromioclavicular joint	N094C00	202479004	28039	CPRD_AURUM
310821011	Elbow joint pain	N094D11	202480001	1748	CPRD_AURUM
310825019	Wrist joint pain	N094311	202482009	677436	CPRD_AURUM
310826018	Arthralgia of wrist	N094F00	202482009	99387	CPRD_AURUM
310840017	Ankle joint pain	N094711	202490009	62077	CPRD_AURUM
310846011	Arthralgia of talonavicular joint	N094R00	202493006	1297	CPRD_AURUM
400244011	Shoulder joint pain	N094111	267949000	164128	CPRD_AURUM
400246013	Arthralgia of shoulder	N094A00	267949000	14378	CPRD_AURUM
400249018	Arthralgia of the pelvic region and thigh	N094500	267952008	136886	CPRD_AURUM
400250018	Arthralgia of the lower leg	N094600	267953003	308408	CPRD_AURUM
439693015	Shoulder joint painful on movement	1M02.00	298857005	6756	CPRD_AURUM
484754019	Knee joint pain	N094611	30989003	1483632	CPRD_AURUM
1230691015	Arthralgia of hip	N094K00	49218002	126886	CPRD_AURUM
890651000006117	Pain in joint - coxalgia	N094.99	57676002	139	CPRD_AURUM
890671000006110	Ankle/foot joint pain	N094799	267954009	16477	CPRD_AURUM
991491000006111	Joint pain NOS	N094.98	57676002	23	CPRD_AURUM
1892761000006110	Shoulder joint painful on movement		298857005	6	CPRD_AURUM
1892771000006110	Shoulder joint painful on external rotation		1892771000006100	6	CPRD_AURUM
2364511000000110	Shoulder joint painful on external rotation	1M03.00	921261000000101	1387	CPRD_AURUM
310792015	Arthralgia of unspecified site	N094000	57676002	141501	CPRD_AURUM
310815012	Arthralgia of other specified site	N094800	57676002	14552	CPRD_AURUM
310847019	Arthralgia of other tarsal joint	N094S00	57676002	457	CPRD_AURUM
310855014	Arthralgia NOS	N094z00	57676002	130738	CPRD_AURUM
400248014	Arthralgia of the forearm	N094300	267950000	37593	CPRD_AURUM
248581000006113	Pain in joint - arthralgia	N094.00	57676002	955388	CPRD_AURUM
491791000006117	Arthralgia of 1st MTP joint	N094T00	202495004	7946	CPRD_AURUM
491861000006115	Arthralgia of IP joint of toe	N094V00	202497007	659	CPRD_AURUM
491881000006113	Arthralgia of lesser MTP joint	N094U00	202496003	435	CPRD_AURUM
491891000006111	Arthralgia of MCP joint	N094G00	202483004	4897	CPRD_AURUM
491941000006112	Arthralgia of sacro-iliac joint	N094L00	202487003	34913	CPRD_AURUM
492061000006117	Arthralgia of tibio-fibular joint	N094N00	202489000	92	CPRD_AURUM
693501000006115	Musculoskeletal pain - joints	N096.12	57676002	186778	CPRD_AURUM
