MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
5698781000006112	1	^ESCTUN569878		Unable to remember new motor skills	285221007	424171018	31
5698821000006118	1	^ESCTUN569882		Unable to remember objects	285225003	424175010	31
5698851000006110	3	^ESCTUN569885		Unable to remember faces	285228001	424178012	31
5698651000006114	1	^ESCTUN569865		Unable to recall random address at five minutes	285208000	424158016	31
5697731000006110	2	^ESCTUN569773		Unable to recognise objects	285157008	424068011	31
5697901000006116	1	^ESCTUN569790		Unable to recognise objects by sight	285164005	424084012	31
5698401000006113	4	^ESCTUN569840		Unable to recognise odours	285186006	1206410015	31
5706261000006118	3	^ESCTUN570626		Unable to recognise parts of own body	285780009	424916018	31
5246511000006116	1	^ESCTCA524651		Cannot remember name of school	247616000	369741018	31
295526017	8000	E2A11	E2A1100	Organic memory impairment	192072002	295526017	32
2474638012	400	1B1a	1B1a.00	Poor auditory sequential memory	413089005	2474638012	27
14068581000006119	30	^ESCT1406858		Memory: present month not known	165295002	3860272012	3
257033017	20000	3A60	3A60.00	Memory: present month not knwn	165295002	257033017	3
2612641000000117	80000	3AG1		Memory: months of year in reverse unsuccessful	1034921000000105	2612641000000117	32
257013016	2000	3A10	3A10.00	Memory: own age not known	165280004	257013016	3
257017015	20000	3A20	3A20.00	Memory: present time not known	165283002	257017015	3
257025018	30000	3A40	3A40.00	Memory: present year not known	165289003	257025018	3
252928010	6000	1B1A0	1B1A000	Temporary loss of memory	162200009	252928010	27
257029012	1000	3A50	3A50.00	Memory: own DOB not known	165292004	257029012	3
257037016	3000	3A70	3A70.00	Memory: important event not kn	165298000	257037016	27
257041017	3000	3A80	3A80.00	Memory: important person not known	165301001	2666083017	3
257045014	60000	3A90	3A90.00	Memory: count down successful	165304009	257045014	3
710751000006111	20000	3A30	3A30.00	Memory: present place not known	165286005	257021010	3
711421000006116	20000	3AA1	3AA1.00	Memory: address recall unsuccessful	165308007	257050015	3
711451000006113	9000	3A91	3A91.00	Memory: count down unsuccessful	165305005	257046010	3
3179841000006119	40	^ESCTLO317984		Loss of memory for recent events	42176003	493224019	27
3279341000006111	800	^ESCTME327934		Memory loss	48167000	80255013	27
14068591000006116	10	^ESCT1406859		Memory: important event not known	165298000	3860274013	27
