MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
139801010	60000	K5940-2	K594012	Delayed menstruation	84292000	139801010	27
139802015	100000	K5940	K594000	Delayed period	84292000	139802015	27
139803013	50000	K5940-1	K594011	Late period	84292000	139803013	27
506006011	100000	1517-1	1517.11	Menstrual period late	84292000	506006011	27
706271000006114	80000	1517	1517.00	Menses delayed	84292000	506006011	27
3871451000006112	3	^ESCTPE387145		Period has come late	84292000	1234923016	27
5264471000006112	60	^ESCTLO526447		Long menstrual cycle	248963003	371538010	31
3179131000006117	4	^ESCTAB317913		Abnormal menstrual cycle	42131003	70313010	31
133033014	1000000	K594	K594.00	Irregular menstrual cycle	80182007	133033014	32
305054015	70000	K594z	K594z00	Irregular menstrual cycle NOS	80182007	133033014	32
305259016	200000	Kyu9C	Kyu9C00	Irregular periods	80182007	133036018	32
3804321000006117	30	^ESCTIR380432		Irregular menstrual bleeding	80182007	133034015	32
3804331000006119	10	^ESCTIR380433		Irregular menstruation	80182007	133035019	32
3804341000006112	6	^ESCTME380434		Menstrual periods irregular	80182007	504360013	32
3804351000006114	3	^ESCTVA380435		Variable menstrual cycle	80182007	504361012	32
3804361000006111	400	^ESCTIR380436		Irregular uterine bleeding	80182007	504362017	32
355445016	100000	K595-1	K595.11	Intermenstrual bleeding - regular	237132003	355445016	32
476847011	4000	K5912	K591200	Primary oligomenorrhoea	14884007	476847011	32
106733011	4000	K5910	K591000	Hypomenorrhoea	64206003	106733011	32
396781015	9000	K583-2	K583.12	Painful menstruation	289900009	429848015	32
5753391000006118	400	^ESCTPE575339		Period pain present	289900009	429847013	32
5753411000006118	50	^ESCTPE575341		Period pain	289900009	429849011	32
