MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
2674238014	400	G55A-1	G55A.11	Tachycardia-induced cardiomyopathy	426300009	2674238014	32
1705371000000116	200	G55A	G55A.00	Tachycardiomyopathy	426300009	1705371000000116	32
2676303012	40000	321C1		ECG: sinus tachycardia	427084000	2676303012	32
2600221000006117	20	^ESCTTA260022		Tachyarrhythmia	6285003	11435010	31
7063881000006115	10	^ESCTEC706388		ECG: supraventricular tachycardia	426761007	2676305017	31
42864016	40000	G571-1	G571.11	Ventricular tachycardia	25569003	42864016	32
2908961000006115	7	^ESCTVT290896		VT - Ventricular tachycardia	25569003	1224898011	32
556551000000115	20000	R050-2	R050.12	Postural orthostatic tachycardia syndrome	371073003	1209781014	32
5590611000006118	1000	^ESCTAT559061		Atrial tachycardia	276796006	413083010	31
256484015	5000	3282	3282.00	ECG: ventricular tachycardia	164895002	256484015	3
317327019	200000	R050	R050.00	Tachycardia	3424008	6779013	32
1222503016	5000	R050-1	R050.11	Rapid heart beat	3424008	6781010	32
2553641000006118	5	^ESCTIN255364		Increased heart rate	3424008	6782015	32
2553651000006116	300	^ESCTHE255365		Heart rate fast	3424008	1228155015	32
133268018	300000	1812	1812.00	Palpitations	80313002	133268018	27
252443016	60000	181Z	181Z.00	Palpitations NOS	80313002	133268018	27
317328012	300000	R051	R051.00	[D]Palpitations	80313002	133268018	27
317330014	30000	R051z	R051z00	[D]Palpitations NOS	80313002	133268018	27
249291000006117	3000000	181	181..00	Palpitations	80313002	133268018	27
60214017	20000	G57y3	G57y300	Sick sinus syndrome	36083008	60214017	32
